En la canción de María Elena Walsh, ¿Dónde vivía la tortuga Manuelita?;Chivilcoy;Pehuajó;Don Torcuato;2
"En el mito ""el Juicio de Paris"", ¿Cuál fue la fruta de la discordia?";Manzana;Uva;Kiwi;1
¿Sobre qué superficie se juega el torneo de tenis Wimbledon?;Ladrillo;Cemento;Césped;3
¿Cuántas estrellas tiene la bandera de Brasil?;33;27;52;2
"¿Qué trae el plato de comida ""Ropa Vieja""?";Carne de vaca desmechada;Pollo deshuesado;Cerdo ahumado;1
¿A qué país pertenece Hawai?;Japón;Estados Unidos;Ninguno;2
¿A qué país mediterráneo pertenece la isla de Santorini?;Grecia;Italia;España;1
¿Cuál es la capital de Costa Rica?;San José;Santo Domingo;Managua;1
"¿Dónde se encuentra el ""Gran Agujero Azul""?";Belice;Antigua y Barbuda;Barbados;1
Según la mitología griega, ¿A qué isla llevó Poseidón a Córcira?;Rodas;Corfú;Mykonos;2
Según la famosa canción infantil, ¿A quién saluda Don Pepito?;A don Gato;A don José;A don Tito;2
¿Cuántos grados deben sumar dos ángulos suplementarios?;180°;45°;90°;1
¿Cómo se llama el Teletubbie violeta?;Laa-Laa;Po;Tinky Winky;3
¿Qué trópico se ubica en el hemisferio norte?;Trópico de Capricornio;Trópico de Cáncer;Trópico de Leo;2
"¿A qué constelación pertenece ""Shun"" en los Caballeros del Zodíaco?";Andrómeda;Félix;Dragón;1
"¿A quién se le atribuye la frase: ""Estos son mis principios, si no le gustan tengo otros""?";Oscar Wilde;Winston Churchill;Groucho Marx;3
"¿Qué presidente argentino decretó la celebración del ""Día de la raza""?";Domingo F. Sarmiento;Hipólito Yrigoyen;Julio A. Roca;2
¿Qué famoso deportista se negó a combatir en Vietnam?;George Foreman;Muhammad Ali;Rocky Marciano;2
¿Cuál es el apellido del músico conocido como Pappo?;Napolitano;Martínez;Mollo;1
¿De qué se ocupa un pomólogo?;Cosméticos;Frutas;Envases de cremas;2
¿En qué pueblo ficticio se desarrolla la novelística de Onetti?;Santa María;Macondo;Ciudad Esmeralda;1
¿Qué equipo salió campeón del Super Bowl LIII?;New England Patriots;Kansas City Chiefs;Los Angeles Rams;1
"¿Cuál es el apellido de Rick, personaje de ""Rick and Morty""?";Sánchez;Roiland;Smith;1
¿A quién le legó San Martín su sable corvo?;Mariano Balcarce;Bartolomé Mitre;Juan Manuel de Rosas;3
"¿Qué Papa intervino durante la ""Crisis de los Misiles de Cuba""?";Juan XXIII;Pío XII;Juan Pablo II;1
